Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29
OpenSwoole,1462.59,1468.32,1472.94,1467.39,1465.81,1466.78,1470.02,1470.30,1469.82,1465.66,1469.44,1466.24,1467.78,1465.41,1470.72,1468.90,1472.07,1467.09,1469.50,1469.44,1468.42,1471.13,1462.57,1470.31,1465.59,1473.33,1463.76,1469.65,1388.89
Swoole,1456.79,1460.79,1466.44,1463.47,1466.51,1466.76,1463.55,1466.30,1464.18,1470.64,1467.69,1468.38,1470.26,1465.24,1468.66,1469.28,1470.35,1473.93,1471.17,1468.85,1470.80,1468.64,1465.67,1473.90,1463.08,1469.93,1465.59,1464.87,1468.84
RoadRunner,1396.13,1398.51,1402.06,1400.50,1403.21,1400.05,1424.24,1420.95,1400.45,1403.89,1408.04,1404.56,1406.25,1412.25,1409.01,1404.45,1411.88,1412.90,1409.48,1406.60,1403.27,1406.92,1407.06,1415.57,1401.74,1406.56,1411.80,1413.61,1399.23
FrankenPHP,1402.86,1406.82,1406.22,1403.98,1406.34,1410.31,1406.73,1408.30,1407.30,1406.20,1402.30,1406.32,1403.79,1406.94,1405.56,1405.75,1408.19,1414.62,1414.10,1412.31,1410.69,1412.98,1416.13,1412.12,1412.41,1404.07,1405.25,1409.47,1411.06
