Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29
OpenSwoole,1454.43,1467.93,1469.44,1462.61,1462.68,1459.57,1464.61,1466.57,1466.35,1465.21,1466.81,1465.51,1470.88,1467.99,1467.87,1468.53,1467.00,1472.46,1463.63,1469.26,1462.40,1468.31,1468.50,1462.91,1467.51,1472.35,1465.21,1465.82,1467.68
Swoole,1460.67,1462.99,1465.81,1464.93,1461.55,1461.55,1464.77,1471.69,1468.95,1465.30,1462.88,1466.25,1467.59,1460.66,1471.44,1470.14,1469.92,1470.51,1468.28,1468.58,1468.48,1469.08,1465.86,1465.13,1467.44,1467.60,1464.42,1469.21,1467.46
RoadRunner,1407.89,1414.02,1392.55,1404.41,1401.19,1395.06,1388.42,1399.86,1426.46,1425.30,1418.88,1420.22,1422.62,1426.19,1432.43,1440.68,1428.88,1431.27,1427.17,1431.90,1416.66,1436.93,1432.92,1423.82,1423.59,1419.61,1429.17,1420.78,1427.31
FrankenPHP,1398.09,1401.13,1413.02,1412.28,1403.22,1407.61,1409.71,1413.00,1404.68,1406.90,1407.05,1412.73,1405.34,1412.98,1406.98,1411.92,1412.90,1406.83,1406.39,1414.71,1410.18,1408.77,1411.35,1405.46,1414.02,1408.22,1409.25,1408.10,1403.29
