Server,50%,75%,90%,99%,99.99%
OpenSwoole,8.452,10.828,24.119,131.229,193.629
Swoole,8.579,11.011,25.947,137.349,197.769
RoadRunner,12.293,14.628,17.475,73.853,163.855
FrankenPHP,8.64,10.148,12.819,83.643,190.263
