Server,50%,75%,90%,99%,99.99%
OpenSwoole,10.465,11.518,13.743,124.44,154.692
Swoole,10.516,11.572,13.73,125.074,147.378
RoadRunner,12.664,13.603,18.792,89.042,178.395
FrankenPHP,9.519,10.098,10.757,13.338,175.437
