Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29
OpenSwoole,1169.34,1202.69,1204.37,1221.88,1212.06,1200.86,1201.75,1195.02,1204.68,1212.83,1201.67,1211.32,1207.90,1211.76,1196.13,1196.44,1201.02,1207.81,1209.32,1210.33,1211.12,1207.96,1207.22,1202.51,1211.92,1205.25,1208.22,1206.39,1202.63
Swoole,1178.00,1196.40,1209.80,1214.45,1206.84,1200.44,1212.12,1203.78,1210.27,1208.42,1215.87,1207.20,1205.47,1193.93,1214.19,1213.84,1205.53,1211.98,1189.89,1209.17,1208.77,1212.73,1202.52,1209.54,1200.29,1209.84,1203.94,1209.92,1196.73
RoadRunner,1227.55,1235.27,1233.48,1235.01,1178.81,1237.12,1233.73,1229.47,1236.13,1234.08,1219.35,1205.40,1239.92,1230.56,1236.06,1235.35,1239.46,1191.83,1226.48,1235.30,1236.81,1238.14,1235.13,1210.30,1203.29,1235.82,1232.64,1234.27,1237.15
FrankenPHP,1155.49,1146.90,1146.90,1152.41,1147.05,1147.56,1153.97,1145.69,1149.60,1156.61,1149.13,1148.00,1154.07,1147.86,1150.52,1160.44,1153.73,1162.13,1155.72,1157.42,1155.14,1153.85,1154.72,1162.62,1164.09,1156.72,1155.75,1158.06,1166.47
