Server,50%,75%,90%,99%,99.99%
OpenSwoole,6.754,7.889,44.083,137.606,187.83
Swoole,6.795,7.936,43.49,137.228,178.483
RoadRunner,9.203,10.514,16.041,97.457,157.598
FrankenPHP,6.603,7.525,9.17,36.146,193.227
