Server,00:01,00:02,00:03,00:04,00:05,00:06,00:07,00:08,00:09,00:10,00:11,00:12,00:13,00:14,00:15,00:16,00:17,00:18,00:19,00:20,00:21,00:22,00:23,00:24,00:25,00:26,00:27,00:28,00:29,00:30
OpenSwoole,533,500.8,522,527.5,539.3,539,533.1,517.1,481.4,540.7,541.7,501.6,519.9,527.9,518.6,535.3,519.4,516.2,525.9,523.1,540.3,528.7,508.1,531.3,520.3,526.4,506.6,524.9,542.6,539.1
Swoole,552.4,556.7,560.5,544.8,546,546,551.5,555.1,510.1,532.5,552,546,556.8,564.8,547.5,528.6,565.4,565.4,540.5,551,550,550.3,564.7,553.2,544.1,558.3,532.7,557.3,557.7,562.7
RoadRunner,240.2,395.8,401.1,403.1,403,403.9,401.6,319.1,337,415,412,412.5,415.2,424.5,347.2,369.9,414.3,414.8,415.4,420.5,392.5,321.3,394.6,414.9,415.6,416.1,415.3,398.2,333.5,415.3
FrankenPHP,105.6,106.1,104.5,104.9,105.8,106.1,103.4,104.1,105.7,104.1,105.6,104.4,105.8,106,104.4,104.7,104.5,104.3,105.7,105.2,104.1,105.6,104.5,105.3,105,103.9,105.9,104.4,105.5,99.06
